Server started at Mon Jul  7 14:19:39 2025

2025-07-07 15:05:21.420 [INFO ] Logger initialized
2025-07-07 15:05:21.420 [INFO ] Data loaded from file
2025-07-07 15:05:21.420 [INFO ] Redis handler initialized with max level: 18
2025-07-07 15:05:21.428 [INFO ] SkipList server initialized successfully
2025-07-07 15:05:21.429 [INFO ] SkipList server started on 0.0.0.0:6379
2025-07-07 15:06:21.429 [INFO ] Data saved to file
2025-07-07 15:07:21.429 [INFO ] Data saved to file
2025-07-07 15:08:21.430 [INFO ] Data saved to file
2025-07-07 15:09:21.430 [INFO ] Data saved to file
2025-07-07 15:10:21.431 [INFO ] Data saved to file
2025-07-07 15:11:21.433 [INFO ] Data saved to file
2025-07-07 15:12:21.434 [INFO ] Data saved to file
2025-07-07 15:13:21.434 [INFO ] Data saved to file
2025-07-07 15:14:21.435 [INFO ] Data saved to file
2025-07-07 15:15:21.435 [INFO ] Data saved to file
2025-07-07 15:16:21.436 [INFO ] Data saved to file
2025-07-07 15:17:21.437 [INFO ] Data saved to file
2025-07-07 15:18:21.438 [INFO ] Data saved to file
2025-07-07 15:19:21.439 [INFO ] Data saved to file
2025-07-07 15:20:21.439 [INFO ] Data saved to file
2025-07-07 15:21:21.439 [INFO ] Data saved to file
2025-07-07 15:22:09.308 [INFO ] Data saved to file
2025-07-07 15:22:21.440 [INFO ] Data saved to file
2025-07-07 15:23:21.440 [INFO ] Data saved to file
2025-07-07 15:24:21.441 [INFO ] Data saved to file
2025-07-07 15:25:21.443 [INFO ] Data saved to file
2025-07-07 15:26:21.444 [INFO ] Data saved to file
2025-07-07 15:27:21.444 [INFO ] Data saved to file
2025-07-07 15:28:21.445 [INFO ] Data saved to file
2025-07-07 15:29:21.446 [INFO ] Data saved to file
2025-07-07 15:30:21.446 [INFO ] Data saved to file
2025-07-07 15:31:21.447 [INFO ] Data saved to file
2025-07-07 15:32:21.447 [INFO ] Data saved to file
2025-07-07 15:33:21.448 [INFO ] Data saved to file
2025-07-07 15:34:21.448 [INFO ] Data saved to file
2025-07-07 15:35:21.449 [INFO ] Data saved to file
2025-07-07 15:36:21.449 [INFO ] Data saved to file
2025-07-07 15:37:21.450 [INFO ] Data saved to file
2025-07-07 15:38:21.450 [INFO ] Data saved to file
2025-07-07 15:39:21.451 [INFO ] Data saved to file
2025-07-07 15:40:21.451 [INFO ] Data saved to file
2025-07-07 15:41:21.452 [INFO ] Data saved to file
2025-07-07 15:42:21.453 [INFO ] Data saved to file
2025-07-07 15:43:21.454 [INFO ] Data saved to file
2025-07-07 15:44:21.454 [INFO ] Data saved to file
2025-07-07 15:45:21.455 [INFO ] Data saved to file
2025-07-07 15:46:21.462 [INFO ] Data saved to file
2025-07-07 15:47:21.467 [INFO ] Data saved to file
2025-07-07 15:48:21.469 [INFO ] Data saved to file
